ProductID,ProductName,TotalReviews,AvgSentiment,NegativeReviews,PositiveReviews,NegativePct,PositivePct,HealthScore
15,Climbing Rope,69,0.30516376811594204,11,36,15.942028985507244,52.17391304347826,36.231884057971016
7,Basketball,64,0.26875,12,32,18.75,50.0,31.25
11,Ski Boots,67,0.2537820895522388,14,34,20.8955223880597,50.74626865671642,29.850746268656717
12,Ice Skates,79,0.1986253164556962,15,36,18.9873417721519,45.56962025316456,26.582278481012658
16,Kayak,75,0.22736266666666666,15,34,20.0,45.33333333333333,25.33333333333333
8,Football Helmet,64,0.1947359375,14,30,21.875,46.875,25.0
13,Swim Goggles,73,0.2299972602739726,18,35,24.65753424657534,47.94520547945205,23.287671232876708
14,Cycling Helmet,56,0.22931428571428572,11,24,19.642857142857142,42.857142857142854,23.21428571428571
2,Fitness Tracker,76,0.2172592105263158,19,36,25.0,47.368421052631575,22.368421052631575
6,Tennis Racket,72,0.1838111111111111,14,30,19.444444444444446,41.66666666666667,22.222222222222225
1,Running Shoes,63,0.19906349206349208,17,27,26.984126984126984,42.857142857142854,15.87301587301587
10,Golf Clubs,64,0.1775890625,18,28,28.125,43.75,15.625
3,Yoga Mat,65,0.1698723076923077,18,27,27.692307692307693,41.53846153846154,13.846153846153847
4,Dumbbells,75,0.15651866666666667,21,31,28.000000000000004,41.333333333333336,13.333333333333332
9,Baseball Glove,73,0.16593972602739726,20,28,27.397260273972602,38.35616438356164,10.958904109589039
18,Volleyball,59,0.11696779661016948,16,22,27.11864406779661,37.28813559322034,10.16949152542373
17,Surfboard,72,0.11938888888888889,21,25,29.166666666666668,34.72222222222222,5.555555555555554
5,Soccer Ball,75,0.14409333333333332,22,26,29.333333333333332,34.66666666666667,5.333333333333339
20,Boxing Gloves,59,0.12004915254237288,19,22,32.20338983050847,37.28813559322034,5.084745762711869
19,Hockey Stick,63,0.16765714285714287,20,23,31.746031746031743,36.507936507936506,4.761904761904763
