ProductID,TotalReviews,AvgSentiment,NegativeReviews,PositiveReviews,NegativePct,PositivePct,ProductHealth
1,63,0.19906349206349208,17,27,26.984126984126984,42.857142857142854,Monitor
2,76,0.2172592105263158,19,36,25.0,47.368421052631575,Monitor
3,65,0.1698723076923077,18,27,27.692307692307693,41.53846153846154,Monitor
4,75,0.15651866666666667,21,31,28.000000000000004,41.333333333333336,Monitor
5,75,0.14409333333333332,22,26,29.333333333333332,34.66666666666667,Monitor
6,72,0.1838111111111111,14,30,19.444444444444446,41.66666666666667,Monitor
7,64,0.26875,12,32,18.75,50.0,Monitor
8,64,0.1947359375,14,30,21.875,46.875,Monitor
9,73,0.16593972602739726,20,28,27.397260273972602,38.35616438356164,Monitor
10,64,0.1775890625,18,28,28.125,43.75,Monitor
11,67,0.2537820895522388,14,34,20.8955223880597,50.74626865671642,Monitor
12,79,0.1986253164556962,15,36,18.9873417721519,45.56962025316456,Monitor
13,73,0.2299972602739726,18,35,24.65753424657534,47.94520547945205,Monitor
14,56,0.22931428571428572,11,24,19.642857142857142,42.857142857142854,Monitor
15,69,0.30516376811594204,11,36,15.942028985507244,52.17391304347826,Monitor
16,75,0.22736266666666666,15,34,20.0,45.33333333333333,Monitor
17,72,0.11938888888888889,21,25,29.166666666666668,34.72222222222222,Monitor
18,59,0.11696779661016948,16,22,27.11864406779661,37.28813559322034,Monitor
19,63,0.16765714285714287,20,23,31.746031746031743,36.507936507936506,Monitor
20,59,0.12004915254237288,19,22,32.20338983050847,37.28813559322034,Monitor
